2025-04-24T22:59:41
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11532,11494,11424,11470,11531
65535,909,100,11542,11495,11451,11470,11503
65535,909,100,11558,11486,11469,11468,11490
65535,909,100,11576,11487,11471,11470,11498
65535,909,100,11577,11485,11481,11473,11514
65535,909,100,11593,11488,11485,11480,11525
65535,909,100,11605,11485,11465,11483,11533
65535,909,100,11605,11495,11454,11491,11535
65535,909,100,11626,11490,11448,11475,11533
65535,909,100,11623,11492,11471,11494,11550
65535,909,100,11639,11494,11488,11502,11556
65535,909,100,11647,11492,11465,11492,11555
65535,909,100,11662,11490,11487,11470,11549
65535,909,100,11663,11489,11482,11474,11543
65535,909,100,11680,11485,11489,11484,11542
65535,909,100,11705,11481,11473,11460,11528
65535,909,100,11779,11528,11459,11473,11527
65535,909,100,11881,11520,11481,11473,11548
1,909,100,12099,11524,11508,11471,11564
1,909,100,12207,11530,11514,11487,11582
1,909,100,12272,11533,11521,11468,11588
1,909,100,12313,11531,11511,11455,11580
1,909,100,12351,11522,11514,11471,11582
0,909,100,12400,11523,11493,11480,11578
0,909,100,12421,11514,11482,11488,11571
0,909,100,12448,11517,11488,11509,11581
1,909,100,12491,11527,11513,11515,11581
1,909,100,12515,11530,11519,11509,11583
1,909,100,12557,11540,11519,11523,11589
1,909,100,12611,11538,11525,11515,11563
1,909,100,12658,11534,11525,11491,11535
1,909,100,12704,11543,11532,11496,11555
1,909,100,12757,11551,11534,11504,11560
1,909,100,12816,11555,11543,11514,11566
0,909,100,12857,11563,11518,11502,11546
0,909,100,12881,11577,11520,11504,11556
0,909,100,12901,11601,11528,11490,11563
0,909,100,12919,11622,11526,11506,11563
0,909,100,12936,11646,11539,11483,11558
0,909,100,12907,11662,11537,11463,11559
0,909,100,12904,11684,11542,11448,11540
1,909,100,12877,11770,11551,11470,11556
1,909,100,12858,11772,11550,11490,11531
2,909,100,12867,11774,11517,11511,11552
2,909,100,12845,11777,11516,11501,11562
2,909,100,12840,11768,11524,11508,11565
2,909,100,12836,11770,11528,11508,11573
2,909,100,12825,11789,11534,11511,11570
2,909,100,12814,11805,11544,11518,11566
2,909,100,12794,11816,11515,11529,11538
2,909,100,12788,11824,11529,11497,11553
2,909,100,12789,11836,11500,11503,11558
2,909,100,12782,11841,11513,11511,11565
2,909,100,12776,11859,11530,11517,11568
3,909,100,12752,11889,11543,11528,11572
3,909,100,12732,11910,11523,11518,11584
4,909,100,12708,11935,11515,11519,11585
4,909,100,12660,11971,11530,11533,11598
5,909,100,12613,11993,11536,11498,11589
6,909,100,12566,12028,11512,11479,11590
7,909,100,12507,12062,11524,11471,11581
9,909,100,12440,12107,11531,11449,11576
11,909,100,12387,12152,11527,11461,11577
14,909,100,12331,12191,11539,11451,11566
65535,909,100,12260,12252,11518,11467,11557
65535,909,100,12222,12310,11525,11466,11560
24,909,100,12153,12369,11540,11485,11566
25,909,100,12109,12431,11536,11494,11570
26,909,100,12062,12482,11528,11469,11574
26,909,100,12026,12532,11515,11475,11579
27,909,100,11973,12577,11514,11461,11549
27,909,100,11951,12627,11533,11458,11566
27,909,100,11927,12657,11548,11481,11573
28,909,100,11884,12699,11573,11485,11579
28,909,100,11849,12731,11580,11464,11583
29,909,100,11814,12771,11600,11459,11592
29,909,100,11808,12793,11617,11477,11594
29,909,100,11778,12819,11601,11489,11601
29,909,100,11742,12846,11617,11472,11605
29,909,100,11732,12871,11622,11497,11617
29,909,100,11723,12900,11644,11490,11620
29,909,100,11707,12924,11653,11506,11591
29,909,100,11686,12990,11625,11507,11605
30,909,100,11655,12996,11644,11514,11599
30,909,100,11641,13000,11666,11520,11599
30,909,100,11640,12998,11655,11503,11566
30,909,100,11635,12985,11651,11495,11575
30,909,100,11616,13037,11679,11476,11588
30,909,100,11610,13013,11704,11492,11595
30,909,100,11603,12982,11700,11501,11596
30,909,100,11603,12959,11688,11492,11608
30,909,100,11586,12992,11689,11475,11610
30,909,100,11567,12968,11720,11473,11603
30,909,100,11554,12946,11749,11459,11606
30,909,100,11537,12926,11765,11458,11598
30,909,100,11552,12918,11786,11451,11612
31,909,100,11537,12901,11795,11449,11571
30,909,100,11543,12891,11782,11481,11590
31,909,100,11532,12852,11786,11497,11570
31,909,100,11537,12836,11800,11515,11570
31,909,100,11526,12801,11820,11525,11566
31,909,100,11529,12785,11817,11539,11568
31,909,100,11542,12774,11821,11533,11575
31,909,100,11542,12745,11859,11517,11580
31,909,100,11544,12733,11872,11522,11542
32,909,100,11540,12676,11925,11535,11555
32,909,100,11542,12645,11972,11512,11556
32,909,100,11530,12612,12013,11497,11566
33,909,100,11528,12578,12053,11504,11577
33,909,100,11532,12556,12097,11511,11588
34,909,100,11528,12530,12130,11487,11605
35,909,100,11526,12490,12170,11511,11611
36,909,100,11509,12455,12214,11525,11611
36,909,100,11517,12422,12249,11504,11608
38,909,100,11511,12383,12281,11501,11602
65535,909,100,11523,12332,12309,11496,11612
65535,909,100,11523,12263,12331,11497,11575
42,909,100,11509,12241,12366,11525,11583
43,909,100,11513,12221,12379,11501,11594
44,909,100,11511,12184,12421,11498,11586
44,909,100,11512,12140,12456,11498,11606
45,909,100,11522,12100,12490,11525,11575
46,909,100,11514,12069,12544,11514,11587
47,909,100,11500,11992,12634,11543,11572
47,909,100,11489,11961,12674,11548,11577
48,909,100,11498,11935,12706,11552,11545
48,909,100,11509,11905,12722,11551,11557
48,909,100,11494,11885,12751,11570,11576
48,909,100,11494,11858,12776,11578,11591
48,909,100,11488,11834,12813,11588,11599
49,909,100,11491,11800,12852,11576,11601
49,909,100,11505,11780,12885,11599,11609
49,909,100,11530,11756,12885,11578,11613
49,909,100,11534,11730,12890,11597,11618
49,909,100,11532,11702,12922,11593,11620
49,909,100,11517,11672,12910,11621,11594
49,909,100,11505,11643,12930,11630,11597
50,909,100,11512,11606,12905,11645,11591
50,909,100,11512,11580,12892,11665,11604
50,909,100,11513,11565,12899,11725,11575
50,909,100,11505,11551,12877,11747,11585
50,909,100,11510,11542,12852,11772,11561
51,909,100,11481,11524,12756,11897,11578
52,909,100,11488,11508,12702,11945,11596
52,909,100,11475,11498,12633,12015,11581
53,909,100,11467,11490,12609,12079,11582
54,909,100,11467,11491,12542,12142,11586
55,909,100,11478,11497,12486,12177,11592
57,909,100,11483,11542,12389,12261,11577
65535,909,100,11478,11514,12273,12345,11577
63,909,100,11473,11505,12232,12397,11587
64,909,100,11492,11496,12191,12459,11590
65,909,100,11488,11541,12151,12518,11598
66,909,100,11479,11530,12082,12578,11607
67,909,100,11503,11524,12039,12651,11621
67,909,100,11517,11518,12014,12705,11636
68,909,100,11507,11513,11945,12742,11642
68,909,100,11514,11504,11915,12748,11610
68,909,100,11496,11500,11878,12758,11636
69,909,100,11504,11494,11829,12770,11654
69,909,100,11503,11496,11808,12783,11647
69,909,100,11488,11496,11788,12806,11657
69,909,100,11478,11488,11759,12851,11661
69,909,100,11474,11487,11729,12838,11678
70,909,100,11478,11487,11692,12863,11690
70,909,100,11467,11483,11670,12860,11708
70,909,100,11475,11478,11620,12859,11726
70,909,100,11485,11478,11616,12873,11753
70,909,100,11494,11475,11576,12878,11773
71,909,100,11488,11527,11567,12877,11804
71,909,100,11473,11510,11555,12856,11829
71,909,100,11491,11502,11516,12797,11852
71,909,100,11486,11497,11516,12768,11862
71,909,100,11489,11479,11500,12729,11871
72,909,100,11487,11477,11511,12693,11922
72,909,100,11500,11466,11475,12643,12006
73,909,100,11507,11465,11480,12570,12081
75,909,100,11510,11461,11460,12487,12155
76,909,100,11497,11468,11465,12434,12224
79,909,100,11488,11469,11476,12346,12300
83,909,100,11498,11471,11494,12279,12368
88,909,100,11498,11459,11494,12192,12439
90,909,100,11502,11512,11509,12143,12515
92,909,100,11503,11493,11500,12080,12556
93,909,100,11488,11483,11494,12028,12630
94,909,100,11472,11476,11498,12004,12694
95,909,100,11479,11469,11474,11956,12728
96,909,100,11474,11469,11476,11876,12800
96,909,100,11470,11469,11457,11844,12867
96,909,100,11477,11463,11434,11811,12910
97,909,100,11465,11449,11452,11739,12960
98,909,100,11473,11454,11459,11702,12999
98,909,100,11474,11458,11478,11645,13033
98,909,100,11490,11454,11480,11629,13071
99,909,100,11479,11449,11492,11597,13100
99,909,100,11481,11453,11466,11564,13112
99,909,100,11470,11459,11484,11555,13096
99,909,100,11455,11462,11485,11552,13120
99,909,100,11449,11455,11470,11522,13133
99,909,100,11451,11454,11482,11518,13138
99,909,100,11463,11450,11460,11495,13145
99,909,100,11459,11468,11437,11482,13149
99,909,100,11456,11462,11418,11502,13143
99,909,100,11459,11466,11431,11482,13131
99,909,100,11472,11466,11441,11486,13110
100,909,100,11492,11461,11459,11472,13090
100,909,100,11478,11454,11475,11485,13080
100,909,100,11469,11455,11482,11490,13045
100,909,100,11480,11460,11454,11460,13010
100,909,100,11470,11465,11456,11468,12983
100,909,100,11465,11453,11459,11460,12955
100,909,100,11476,11447,11482,11474,12920
100,909,100,11461,11458,11483,11480,12849
100,909,100,11465,11454,11490,11486,12821
99,909,100,11474,11456,11458,11489,12810
100,909,100,11463,11455,11466,11461,12771
100,909,100,11453,11452,11475,11432,12737
100,909,100,11467,11453,11482,11447,12662
100,909,100,11474,11457,11484,11419,12625
100,909,100,11471,11459,11458,11436,12598
100,909,100,11472,11464,11461,11448,12560
99,909,100,11493,11458,11434,11455,12515
99,909,100,11497,11455,11446,11457,12454
100,909,100,11482,11509,11456,11435,12422
100,909,100,11491,11490,11461,11454,12405
100,909,100,11486,11472,11471,11435,12372
100,909,100,11470,11471,11478,11454,12345
99,909,100,11482,11471,11450,11463,12304
99,909,100,11481,11512,11456,11470,12226
99,909,100,11491,11495,11439,11478,12155
99,909,100,11483,11473,11449,11468,12123
100,909,100,11474,11469,11454,11444,12094
100,909,100,11466,11459,11469,11456,12059
100,909,100,11477,11455,11479,11429,12039
100,909,100,11493,11459,11466,11441,11979
65535,909,100,11485,11458,11479,11461,11922
65535,909,100,11473,11465,11453,11464,11876
65535,909,100,11465,11467,11435,11471,11866
65535,909,100,11480,11471,11415,11476,11839
65535,909,100,11474,11464,11437,11457,11821
65535,909,100,11498,11460,11458,11444,11775
65535,909,100,11509,11511,11469,11442,11714
65535,909,100,11507,11487,11466,11462,11713
65535,909,100,11512,11485,11472,11463,11701
65535,909,100,11526,11478,11475,11473,11686
65535,909,100,11494,11464,11457,11472,11685
65535,909,100,11504,11510,11460,11451,11688
65535,909,100,11491,11505,11471,11466,11681
65535,909,100,11477,11488,11480,11474,11654
65535,909,100,11476,11484,11498,11491,11663
65535,909,100,11467,11473,11498,11493,11658
65535,909,100,11457,11475,11512,11471,11658
65535,909,100,11456,11467,11516,11469,11656
65535,909,100,11452,11462,11480,11481,11649
65535,909,100,11473,11462,11489,11489,11636
65535,909,100,11474,11470,11466,11461,11649
65535,909,100,11470,11475,11473,11467,11650
65535,909,100,11484,11473,11484,11475,11638
65535,909,100,11493,11472,11493,11456,11639
