config01:Slider00:Status,Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11435,11456,11461,11441,11386
65535,909,100,11465,11460,11446,11432,11392
65535,909,100,11458,11456,11443,11441,11398
65535,909,100,11467,11449,11456,11444,11400
65535,909,100,11465,11450,11455,11451,11401
65535,909,100,11472,11453,11440,11456,11396
65535,909,100,11459,11455,11457,11439,11403
65535,909,100,11451,11453,11467,11432,11400
65535,909,100,11474,11462,11479,11413,11414
65535,909,100,11463,11494,11489,11437,11416
65535,909,100,11462,11494,11465,11427,11408
65535,909,100,11458,11489,11449,11413,11405
65535,909,100,11459,11484,11457,11401,11397
65535,909,100,11453,11489,11443,11422,11370
65535,909,100,11452,11490,11465,11435,11350
65535,909,100,11462,11474,11460,11450,11360
65535,909,100,11460,11475,11440,11461,11337
65535,909,100,11455,11477,11459,11459,11356
65535,909,100,11450,11470,11478,11432,11339
65535,909,100,11448,11455,11482,11412,11318
65535,909,100,11444,11459,11497,11424,11345
65535,909,100,11442,11460,11501,11446,11379
65535,909,100,11452,11465,11477,11417,11395
65535,909,100,11454,11461,11460,11425,11403
65535,909,100,11470,11462,11470,11418,11392
65535,909,100,11473,11466,11442,11437,11403
65535,909,100,11450,11463,11458,11455,11399
65535,909,100,11443,11449,11429,11421,11388
65535,909,100,11437,11521,11411,11408,11389
65535,909,100,11428,11508,11409,11401,11364
65535,909,100,11432,11485,11437,11413,11350
65535,909,100,11447,11479,11447,11406,11356
65535,909,100,11442,11471,11457,11436,11327
65535,909,100,11446,11465,11465,11425,11337
65535,909,100,11451,11460,11465,11412,11353
65535,909,100,11446,11459,11452,11400,11352
65535,909,100,11439,11456,11432,11393,11365
65535,909,100,11445,11457,11416,11415,11338
65535,909,100,11448,11455,11430,11435,11353
65535,909,100,11447,11445,11425,11442,11364
65535,909,100,11448,11460,11426,11455,11357
65535,909,100,11450,11460,11437,11440,11367
